port_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_port_vists
SUR,bunker,2023,94.94250477965906,25
TTO,bunker,2024,514.452108349439,5
GIB,bunker,2019,11346.800199917448,39
KHM,bunker,2024,6.549539368811008,11
KWT,bunker,2017,250.78715580971573,8
GAB,bunker,2024,154.90951641081344,21
BGR,bunker,2018,2625.2874455272786,9
BRN,bunker,2022,2537.647714593898,1
BEN,bunker,2019,105.42127524110629,4
CPV,bunker,2018,3383.7354841095207,36
AGO,bunker,2024,3235.3876791696543,9
DJI,bunker,2017,3051.500212421349,8
GNB,bunker,2024,4293.890226687602,2
JAM,bunker,2021,5.384017415936455,1
SOM,bunker,2017,1006.8678859584342,8
KWT,bunker,2023,331.45677301496823,7
DJI,bunker,2021,10082.811996736233,4
LBR,bunker,2022,176.70874449446677,3
TON,bunker,2019,295.5243619282279,17
NRU,bunker,2018,409.7120952067592,7
LBN,bunker,2017,326.88188190994856,3
ISL,bunker,2020,71.80893585096683,7
TON,bunker,2024,8.073090802797678,1
OMN,bunker,2020,132.45347875597508,10
MEX,bunker,2020,3341.226403436458,17
GMB,bunker,2017,14.496332318232692,1
GAB,bunker,2020,154.1269811004259,2
LCA,bunker,2022,113.28554244560891,8
ISL,bunker,2022,69.7870962707799,10
LKA,bunker,2017,32.31294680668083,3
TGO,bunker,2019,12152.669104871298,99
FIN,bunker,2021,640.2885038891593,26
CHL,bunker,2021,148.9738562246582,2
BRA,bunker,2020,259.3834664901403,11
ATG,bunker,2020,30.30158007831087,1
MUS,bunker,2024,2582.3462435804263,3
AGO,bunker,2019,115.85827556606664,6
GUY,bunker,2021,187.28250969073665,7
CCK,bunker,2022,31.04294066821673,4
PRT,bunker,2022,707.644485113065,8
ABW,bunker,2018,748.3952914119592,12
HKG,bunker,2019,754.5169716050176,8
YEM,bunker,2024,191.62392039113774,3
LBR,bunker,2019,1181.2999460749836,6
USA,bunker,2018,7240.189014222674,110
LBN,bunker,2023,67.82258255011033,1
ZAF,bunker,2018,3616.679289246287,23
HRV,bunker,2017,951.1176113614999,88
LTU,bunker,2024,15.901769763530387,1
