time,fishing,inside_footprint,s1_imaged,emissions_co2_mt,emissions_co2_dark_mt
2021-04-01,FALSE,FALSE,FALSE,15040440.827103516,4036.51908
2018-11-01,FALSE,FALSE,FALSE,14618729.160323324,8265.38976
2025-03-01,TRUE,FALSE,FALSE,638683.0957956032,1210.63545
2018-05-01,FALSE,FALSE,FALSE,15049888.126822334,6778.765159999999
2019-06-01,TRUE,TRUE,TRUE,1766935.7066957334,1749325.2563999998
2024-08-01,FALSE,FALSE,FALSE,20649056.28387492,629.60422
2017-03-01,TRUE,FALSE,FALSE,425747.24621699477,4838.900299999999
2023-05-01,TRUE,FALSE,FALSE,581439.8059808423,3148.29504
2020-11-01,FALSE,FALSE,FALSE,14789007.27770443,18346.35729
2017-08-01,FALSE,FALSE,FALSE,14789612.12257521,1649.5244699999998
2025-05-01,TRUE,FALSE,FALSE,582593.498419529,1560.51415
2018-10-01,FALSE,FALSE,FALSE,14895558.426414639,6304.82776
2024-10-01,TRUE,FALSE,FALSE,561562.1290797199,2719.70477
2019-07-01,TRUE,FALSE,FALSE,501832.2651967741,768.8306800000001
2020-05-01,TRUE,FALSE,FALSE,511044.91018505517,1619.1106
2023-04-01,TRUE,FALSE,FALSE,569861.0028252094,3074.57408
2018-04-01,TRUE,FALSE,FALSE,440212.7442625138,2496.9309599999997
2021-06-01,FALSE,FALSE,FALSE,15748554.109983657,5507.34012
