year,fishing,length_size_class_percentile,number_ais_detections,number_dark_detections,emissions_co2_dark_mt,ratio_inferred
2023,TRUE,6,NA,NA,778869.5629026507,TRUE
2019,TRUE,4,58527,62805,864612.485906348,FALSE
2024,TRUE,5,NA,NA,846218.6126019047,TRUE
2023,TRUE,4,30388,33956,854024.4029116568,FALSE
2022,TRUE,9,84894,47576,2683653.3417547895,FALSE
2020,FALSE,6,128285,35272,2631889.5749090873,FALSE
2021,TRUE,5,66068,70988,1156608.1924628103,FALSE
2020,TRUE,8,98311,86830,1399552.4575799704,FALSE
2022,TRUE,3,NA,NA,224709.25905271264,TRUE
2023,TRUE,7,50103,41793,1957589.9250321074,FALSE
2019,TRUE,6,78618,88680,1266228.406444526,FALSE
2018,TRUE,5,58597,67747,1028532.8182144578,FALSE
2021,FALSE,7,161484,31873,3022186.331609948,FALSE
2016,TRUE,9,60816,78237,2816545.646872578,FALSE
2023,FALSE,2,11146,20131,2886544.438989424,FALSE
2020,TRUE,3,40938,36556,428806.0846729334,FALSE
2017,TRUE,2,NA,NA,16414.800993095876,TRUE
2019,TRUE,2,NA,NA,10319.9206659736,TRUE
