vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
Cargo: refrigerated,2018,1730694.7521750445,207,0.0020091231014492473,5.995186473469128e-4
Patrol vessel,2018,1440520.228011869,3026,0.0016722662760526254,0.008763977907593035
Other not fishing,2018,1408887.0069499516,1131,0.0016355440088077074,0.0032756308702867553
Dive vessel,2018,804843.3340470264,365,9.343238219501841e-4,0.0010571222525682278
Tanker: other,2018,245206.43756813265,28,2.846544243131678e-4,8.109430978605584e-5
Well boat,2018,207536.52199154135,91,2.4092429944888572e-4,2.6355650680468147e-4
Research,2018,82994.42208390233,59,9.634628549641137e-5,1.7087729562061764e-4
Passenger,2019,162440640.49047157,133761,0.18373938166427428,0.355809796400432
Tanker: oil,2019,146703951.72681466,11191,0.16593934434512161,0.029768523198220966
Cargo: container,2019,144658549.81711212,5410,0.16362575532571785,0.014390823921220213
Cargo: bulk carrier,2019,124885173.743073,13688,0.14125975207499677,0.036410646549660315
Cargo: general,2019,80879029.53006512,55639,0.09148365107765283,0.1480020429117877
Tanker: chemical,2019,59464932.039569974,5430,0.06726179982219153,0.014444024749025095
Tanker: liquefied gas,2019,54658019.47310535,1589,0.06182461895409315,0.004226805769097767
Cargo: ro ro,2019,36355769.803863585,3009,0.04112263189507938,0.008004064543244293
Fishing,2019,33421050.490890536,94985,0.03780312077830623,0.2526640314523294
Tug,2019,13635019.245227316,35324,0.015422803046910554,0.0939633020689802
Supply vessel,2019,6173856.955312403,4092,0.006983355002957652,0.01088488936887858
Specialized reefer,2019,4081924.353867289,530,0.004617134323746477,0.001409821936829337
Container reefer,2019,3260343.6187349744,98,0.003687830328116478,2.6068405624391514e-4
Bunker,2019,2855237.5676526492,2665,0.0032296079577196534,0.007089010305000346
Dredge non fishing,2019,2479754.3959546606,2309,0.0028048925319196926,0.006142035570073471
Seismic vessel,2019,2133850.7223091447,1121,0.002413634981351514,0.00298190639846356
Cargo: refrigerated,2019,1650574.88801648,202,0.001866993434641846,5.373283608292945e-4
Patrol vessel,2019,1514900.2695822986,3140,0.001713529557478082,0.008352529965366262
Other not fishing,2019,1451714.0548373002,1192,0.0016420585512576095,0.003170769337170886
Dive vessel,2019,815075.6868340535,375,9.219460244448947e-4,9.97515521341512e-4
Tanker: other,2019,243439.37184014777,30,2.753584295136526e-4,7.980124170732096e-5
Well boat,2019,229197.71322993495,91,2.5924944632438915e-4,2.4206376651220694e-4
Research,2019,89778.89971555033,63,1.0155044618407377e-4,1.6758260758537402e-4
Passenger,2020,154242125.10085675,141807,0.1754636255458618,0.3600898910642188
Tanker: oil,2020,150425413.70255145,11315,0.17112178949315598,0.028732129707219216
Cargo: container,2020,140142485.23138997,5461,0.15942407779734677,0.013867093268327366
Cargo: bulk carrier,2020,126975735.6371802,14206,0.14444577262329727,0.036073233285086714
Cargo: general,2020,80295522.95715421,58276,0.09134303332472045,0.14797999035067672
Tanker: chemical,2020,60802998.050576806,5469,0.06916861703659784,0.013887407633122573
Tanker: liquefied gas,2020,58719950.17739247,1664,0.06679897170283751,0.004225387877402808
Fishing,2020,34140748.69805578,99058,0.0388380252249115,0.25153754348543717
Cargo: ro ro,2020,32556099.37244508,3089,0.03703535091846864,0.007843884106548843
Tug,2020,13820173.091219608,37229,0.015721630356630007,0.09453543587008964
Supply vessel,2020,5796353.797524302,4052,0.006593848804891039,0.010289225768771743
Specialized reefer,2020,4044736.624573255,504,0.004601234274110844,0.001279804982097966
Bunker,2020,3422525.03171236,2776,0.0038934153052743482,0.007049084583936416
Container reefer,2020,3008708.6381809106,93,0.0034226637212186775,2.3615449074426755e-4
Dredge non fishing,2020,2626238.513841355,2384,0.002987571202649493,0.006053680708971331
Seismic vessel,2020,1988976.104879931,1121,0.002262630641649403,0.002846550366928214
Cargo: refrigerated,2020,1698135.3164803078,189,0.0019317743392232945,4.7992686828673725e-4
Other not fishing,2020,1517500.719774522,1252,0.0017262870171555584,0.003179198090449709
Patrol vessel,2020,1481231.9923793357,3315,0.0016850282339370786,0.008417764912013407
Dive vessel,2020,768119.9925921372,366,8.738022681310184e-4,9.293821893806659e-4
Tanker: other,2020,270582.9315910345,30,3.0781125556164364e-4,7.617886798202179e-5
Well boat,2020,229276.19953614575,94,2.608213106223931e-4,2.3869378634366827e-4
Research,2020,81064.31644134091,60,9.22176017472135e-5,1.5235773596404358e-4
Passenger,2021,178301525.33369884,164357,0.18946104483691106,0.38587524328943756
Cargo: container,2021,154257739.15252152,5803,0.16391240837294596,0.01362420850227618
Tanker: oil,2021,149030257.6629659,11517,0.15835774975169614,0.027039463953250863
Cargo: bulk carrier,2021,136551128.8117731,14899,0.1450975783292895,0.0349796799027077
Cargo: general,2021,81170628.58580953,57288,0.08625092843796192,0.13450002699955158
Tanker: liquefied gas,2021,64343966.63568103,1773,0.06837112091403655,0.004162626516376989
Tanker: chemical,2021,62567204.081069864,5632,0.06648315450772724,0.013222736909326115
Fishing,2021,36500437.16791431,106466,0.038784923179398405,0.249959500672641
Cargo: ro ro,2021,36000253.73522929,3215,0.03825343431193494,0.007548135504879876
Tug,2021,14762878.69430083,38546,0.01568685639109437,0.09049780129738715
Supply vessel,2021,5999680.800110206,4039,0.006375188271381533,0.009482712069738667
Specialized reefer,2021,4001888.8648995017,499,0.004252358717885629,0.0011715457595443414
Bunker,2021,3134898.407708393,2605,0.0033311051415315434,0.006115985377981983
Container reefer,2021,3049768.1107511213,91,0.0032406467173615016,2.1364862548804624e-4
Dredge non fishing,2021,2856094.88962933,2453,0.003034851894451315,0.0057591217398041475
