fishing,length_size_bin,month,n_s1_detections,n_s1_detections_unmatched,length_bin_min,length_bin_max
FALSE,8,2018-12-01T00:00:00Z,15588,2667,175,200
FALSE,9,2018-12-01T00:00:00Z,9338,1583,200,225
FALSE,10,2018-12-01T00:00:00Z,16589,2846,225,Inf
TRUE,1,2018-12-01T00:00:00Z,125636,98303,0,25
TRUE,2,2018-12-01T00:00:00Z,48028,27537,25,50
TRUE,3,2018-12-01T00:00:00Z,8467,2550,50,75
TRUE,4,2018-12-01T00:00:00Z,1698,301,75,100
TRUE,5,2018-12-01T00:00:00Z,219,49,100,Inf
FALSE,1,2019-01-01T00:00:00Z,5751,5354,0,25
FALSE,2,2019-01-01T00:00:00Z,9521,6371,25,50
FALSE,3,2019-01-01T00:00:00Z,18232,7604,50,75
FALSE,4,2019-01-01T00:00:00Z,22295,6762,75,100
FALSE,5,2019-01-01T00:00:00Z,17796,4655,100,125
FALSE,6,2019-01-01T00:00:00Z,15607,3569,125,150
FALSE,7,2019-01-01T00:00:00Z,14865,2970,150,175
FALSE,8,2019-01-01T00:00:00Z,16087,2837,175,200
FALSE,9,2019-01-01T00:00:00Z,9563,1651,200,225
FALSE,10,2019-01-01T00:00:00Z,17041,3042,225,Inf
TRUE,1,2019-01-01T00:00:00Z,116863,90453,0,25
TRUE,2,2019-01-01T00:00:00Z,46278,25594,25,50
TRUE,3,2019-01-01T00:00:00Z,9300,2597,50,75
TRUE,4,2019-01-01T00:00:00Z,1912,312,75,100
TRUE,5,2019-01-01T00:00:00Z,236,39,100,Inf
FALSE,1,2019-02-01T00:00:00Z,5273,4939,0,25
FALSE,2,2019-02-01T00:00:00Z,7960,5345,25,50
FALSE,3,2019-02-01T00:00:00Z,15408,6124,50,75
FALSE,4,2019-02-01T00:00:00Z,19593,5475,75,100
FALSE,5,2019-02-01T00:00:00Z,15761,3775,100,125
FALSE,6,2019-02-01T00:00:00Z,13760,2969,125,150
FALSE,7,2019-02-01T00:00:00Z,13070,2367,150,175
FALSE,8,2019-02-01T00:00:00Z,13751,2290,175,200
FALSE,9,2019-02-01T00:00:00Z,8359,1352,200,225
FALSE,10,2019-02-01T00:00:00Z,15446,2589,225,Inf
TRUE,1,2019-02-01T00:00:00Z,107851,81857,0,25
TRUE,2,2019-02-01T00:00:00Z,41034,21737,25,50
TRUE,3,2019-02-01T00:00:00Z,8217,2077,50,75
TRUE,4,2019-02-01T00:00:00Z,1683,245,75,100
TRUE,5,2019-02-01T00:00:00Z,257,52,100,Inf
FALSE,1,2019-03-01T00:00:00Z,6455,6036,0,25
FALSE,2,2019-03-01T00:00:00Z,9800,6643,25,50
FALSE,3,2019-03-01T00:00:00Z,20954,8441,50,75
FALSE,4,2019-03-01T00:00:00Z,26257,7544,75,100
FALSE,5,2019-03-01T00:00:00Z,20635,5237,100,125
FALSE,6,2019-03-01T00:00:00Z,17647,4015,125,150
FALSE,7,2019-03-01T00:00:00Z,16219,2982,150,175
FALSE,8,2019-03-01T00:00:00Z,16875,2961,175,200
FALSE,9,2019-03-01T00:00:00Z,10065,1646,200,225
FALSE,10,2019-03-01T00:00:00Z,18741,3041,225,Inf
TRUE,1,2019-03-01T00:00:00Z,153117,114193,0,25
TRUE,2,2019-03-01T00:00:00Z,58153,32170,25,50
TRUE,3,2019-03-01T00:00:00Z,10410,2833,50,75
TRUE,4,2019-03-01T00:00:00Z,2022,340,75,100
TRUE,5,2019-03-01T00:00:00Z,272,42,100,Inf
FALSE,1,2019-04-01T00:00:00Z,6032,5550,0,25
FALSE,2,2019-04-01T00:00:00Z,9653,6278,25,50
FALSE,3,2019-04-01T00:00:00Z,19624,7467,50,75
FALSE,4,2019-04-01T00:00:00Z,24823,6965,75,100
FALSE,5,2019-04-01T00:00:00Z,19841,4752,100,125
FALSE,6,2019-04-01T00:00:00Z,17087,3731,125,150
FALSE,7,2019-04-01T00:00:00Z,15156,2675,150,175
FALSE,8,2019-04-01T00:00:00Z,15954,2462,175,200
FALSE,9,2019-04-01T00:00:00Z,9786,1526,200,225
FALSE,10,2019-04-01T00:00:00Z,18133,3052,225,Inf
TRUE,1,2019-04-01T00:00:00Z,158437,113511,0,25
TRUE,2,2019-04-01T00:00:00Z,56115,29550,25,50
TRUE,3,2019-04-01T00:00:00Z,9804,2710,50,75
TRUE,4,2019-04-01T00:00:00Z,2117,359,75,100
TRUE,5,2019-04-01T00:00:00Z,350,74,100,Inf
FALSE,1,2019-05-01T00:00:00Z,5589,5042,0,25
FALSE,2,2019-05-01T00:00:00Z,9953,6212,25,50
FALSE,3,2019-05-01T00:00:00Z,20357,7558,50,75
FALSE,4,2019-05-01T00:00:00Z,26218,7106,75,100
FALSE,5,2019-05-01T00:00:00Z,21210,4927,100,125
FALSE,6,2019-05-01T00:00:00Z,17921,3845,125,150
FALSE,7,2019-05-01T00:00:00Z,15833,2812,150,175
FALSE,8,2019-05-01T00:00:00Z,16758,2764,175,200
FALSE,9,2019-05-01T00:00:00Z,10212,1562,200,225
FALSE,10,2019-05-01T00:00:00Z,19097,3209,225,Inf
