year,lon_bin,lat_bin,emissions_co2_total_mt,emissions_ch4_total_mt,emissions_n2o_total_mt,emissions_nox_total_mt,emissions_sox_total_mt,emissions_co_total_mt,emissions_vocs_total_mt,emissions_pm2_5_total_mt,emissions_pm10_total_mt
2025,32,-26,172195.6205242861,1.7023019529727674,8.235513703378269,1714.1557741671763,266.90888251730917,96.0088553098743,83.36729097866595,66.81444852984126,72.62438840200136
2025,152,-26,184158.33076486504,1.112699067887637,8.294915761767243,1123.2123209846186,285.64671315404416,70.74228452599695,53.72414659596194,54.22170822173424,58.936626327971986
2025,162,-25,2856.3230973100253,0.0494716668528113,0.148725007812329,58.04411376737788,4.425033563988286,2.6528963992668744,2.775247394744792,1.7668138559453677,1.9204498434188781
2025,178,-25,501.82159592770495,0.008449430828938344,0.025900703512086405,9.716341334960765,0.777403558789533,0.45438674016226,0.4590917817981465,0.3012268860444214,0.32742052830915364
2025,113,-25,23599.113134879102,0.21407578032757402,1.0916090555314295,228.38905698910554,36.58970511434607,12.354056652961187,10.599600959568566,8.711433284578838,9.468944874542219
2025,-88,-25,390.34996491346124,0.006867604563720042,0.02057994666852913,8.85154359543927,0.6049335459850679,0.3685751271644275,0.4128621138885481,0.24769229848848837,0.2692307592266178
2025,-90,-25,618.575866004312,0.010630479851192627,0.03251117241466907,14.083800252194125,0.9569435523254138,0.5732566984470051,0.6292643931583712,0.3881006110253893,0.4218484902449883
2025,159,-25,4046.4037139829106,0.07315292828639636,0.2120062019120313,85.57628894652683,6.268949717868287,3.896019389587574,4.1861376791231795,2.5425226659946176,2.7636115934724104
2025,166,-25,6716.967287252181,0.11816582779396749,0.3572528555529059,157.34935869487302,10.408937846305642,6.356137786175818,7.059979759831932,4.30854294766873,4.683198856161662
2025,8,-25,112149.38387310236,1.9302880037853138,5.924767367406993,2593.988667722072,171.29264270504927,104.326253935371,117.83529481665177,70.68547265304777,76.83203549244321
2025,75,-25,4167.228293393046,0.07281326589057845,0.21991161284458527,97.91362166420282,6.458561885720959,3.92739313564611,4.437991740880564,2.66242145344102,2.8939363624358907
2025,65,-25,4189.518987872257,0.06987036755874396,0.2202129151288352,91.90040594125915,6.3126862814247175,3.7835063609518995,4.229000730084802,2.5702926198273843,2.79379632589933
2025,-21,-25,2737.1899807767822,0.04834532490734301,0.14634292248386602,65.54727556564059,4.242489182356583,2.610987213734123,2.9688038408953514,1.779303598009429,1.934025650010249
2025,-75,-25,27692.521384689768,0.506059239267322,1.4683778465079793,631.2604794721813,42.82854599944476,26.895290985611897,29.394060896293357,17.778149640800116,19.324075696521867
2025,63,-25,3830.816994320196,0.06592530815302763,0.20172314922350965,87.40670968926733,5.886860389475343,3.5632197528770058,3.9953086274399556,2.4149493481226574,2.6249449436115837
2025,102,-25,804.8602047986674,0.013801521269540202,0.042629091862883606,18.42058430621274,1.24738950869592,0.74722840381266,0.8380595744243403,0.5098822127972342,0.5542197965187329
2025,-85,-25,403.9513094594712,0.006998952562122266,0.021230084320491446,8.978617281086624,0.6259893759505899,0.37785824695395503,0.4168319183597354,0.2555040780069174,0.2777218239205624
2025,109,-25,1191.8628450157687,0.021436681958450495,0.06348829806903827,28.905694238751533,1.8471752275692244,1.144998657319327,1.3063551620197327,0.7718440385984889,0.8389609115200968
2025,91,-25,1537.4540138000864,0.026869043107624238,0.08010734611253034,35.34219528069179,2.3829344085888624,1.4447501121394357,1.6509411559206233,0.9740712454606911,1.0587730928920553
2025,-164,-25,596.4145677004136,0.01028845301033369,0.031447227011757395,12.010991809701874,0.9238206449156989,0.5546969715742194,0.566231242206577,0.3711680721158368,0.40344355664764864
2025,70,-25,9091.945434065958,0.15520868853067096,0.4740908855196917,204.9463346625307,13.888273471701627,8.382470224547632,9.455446853600433,5.646647645117617,6.137660483823494
2025,2,-25,13363.763689031659,0.2340404363142107,0.7077172604105806,316.14786213328586,20.678708355381914,12.608226237419712,14.240482144581627,8.542503302602592,9.285329676741949
2025,-78,-25,2884.494748045848,0.050176296837843803,0.15319812036677136,66.618649826882,4.423359524347924,2.6961441986402512,3.048114376379959,1.8308561848118647,1.9900610704476784
2025,-43,-25,676745.4015557563,5.877950492790946,31.697604160918736,5658.129609130258,1048.7482145549743,334.2144467820728,288.09958436127386,239.05956395400835,259.847352123922
2025,-128,-25,367.6545063731733,0.006332256919742368,0.019291199922049463,8.351031990572142,0.5698376620567929,0.3397799653324334,0.3638906778406751,0.22761495965158718,0.2474075648386817
2025,-125,-25,456.1493689640554,0.007310068472140772,0.023622113565861882,9.842183941850479,0.7078206237519734,0.3934724721488464,0.4018224659706255,0.26278004009687755,0.2856304783661712
2025,-103,-25,1917.2136506468987,0.033249299470452465,0.10010341672574091,43.98110145779673,2.971212868753535,1.7940633793865581,2.009512161145102,1.214899075004708,1.320542472831204
