fishing,lon_bin,lat_bin,avg_neighbor_ratio,within_footprint
TRUE,-177,69,0.5649850208016057,FALSE
FALSE,-11,69,0.12912834418502636,FALSE
TRUE,-133,44,1.2095960409697586,FALSE
TRUE,168,48,1.533795837950557,FALSE
TRUE,-43,48,0.4167830350577434,FALSE
TRUE,-82,66,0.6891227695610455,FALSE
FALSE,-154,55,0.17330484351760042,FALSE
TRUE,83,69,0.1896864067318832,FALSE
FALSE,-162,41,0.23471687275281305,FALSE
TRUE,-152,-77,0.6215519986992531,FALSE
FALSE,-95,-73,0.19697280447497476,FALSE
TRUE,-87,-73,0.8299834413047754,FALSE
TRUE,-19,-71,0.47250993062302743,FALSE
TRUE,-111,-70,0.8765880187640623,FALSE
FALSE,-49,-77,0.17916414189760324,FALSE
TRUE,-55,-76,0.7033434701437952,FALSE
TRUE,-156,-75,0.6368615439545946,FALSE
TRUE,-168,41,0.4930913388530075,FALSE
TRUE,-75,-74,0.7650709554238542,FALSE
FALSE,47,45,0.43612274899545095,FALSE
FALSE,-178,47,0.17342848059708757,FALSE
TRUE,139,51,2.333573518981944,FALSE
FALSE,149,54,0.47173412818229127,FALSE
TRUE,174,55,1.1583106052049084,FALSE
FALSE,176,60,0.15029247142099647,FALSE
FALSE,-170,61,0.13755799332845922,FALSE
TRUE,-53,63,0.2822503063819446,FALSE
TRUE,-32,64,0.11899735896477102,FALSE
FALSE,-55,66,0.10351260282846642,FALSE
FALSE,61,68,0.27779359726319675,FALSE
FALSE,-169,48,0.17019348015035987,FALSE
FALSE,-42,49,0.0920887776862357,FALSE
TRUE,171,57,1.259419217432704,FALSE
TRUE,168,58,1.3648159168253775,FALSE
TRUE,-61,65,0.3347303558140155,FALSE
TRUE,-138,44,1.1094476912091678,FALSE
TRUE,-136,68,0.5718290281993316,FALSE
FALSE,-24,61,0.1126809817794368,FALSE
FALSE,175,-78,0.2431687615699209,FALSE
TRUE,-48,-78,0.6379703090543114,FALSE
FALSE,-149,-77,0.22586002263468088,FALSE
TRUE,-132,-73,0.7339763149895805,FALSE
FALSE,172,-72,0.24480355913755722,FALSE
FALSE,-23,-71,0.1780743715292328,FALSE
TRUE,-81,-70,0.8180790425286405,FALSE
FALSE,-25,-73,0.17862618311888134,FALSE
TRUE,-167,-72,0.6632728579719315,FALSE
TRUE,-173,40,0.5345059235282614,FALSE
FALSE,134,40,0.8918014689248454,FALSE
FALSE,-5,-71,0.17576625142742497,FALSE
FALSE,-7,-71,0.1757317944756595,FALSE
TRUE,-147,44,0.7928971940371639,FALSE
TRUE,169,45,1.4749520274190393,FALSE
TRUE,-34,45,0.3444178201159465,FALSE
FALSE,-55,56,0.11325763292313801,FALSE
FALSE,-53,61,0.10154062236807683,FALSE
TRUE,-57,61,0.4522459512985457,FALSE
FALSE,-27,63,0.1124328981115848,FALSE
TRUE,-66,63,0.5719299342590081,FALSE
TRUE,-32,65,0.1199035164713087,FALSE
FALSE,50,42,0.513318934994217,FALSE
FALSE,159,45,0.37701695766322474,FALSE
FALSE,-26,49,0.12354762266827163,FALSE
