imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
9557446,ATLANTIC KESTREL,316023651,XJBE,9,10,60,17
9834375,ALICE,563218500,9V9531,29,13.7,NA,NA
9738210,EPOS,636021399,5LDT5,29.5,13.75,NA,NA
9348235,SAMI TIDE 3000,422083700,EPDW8,14.2,10,NA,NA
9535101,HANSA FRESENBURG,636092477,D5DM3,70,20,NA,NA
9565742,PVT SUNRISE,352898673,3E3590,24.1,15,NA,NA
9015010,NIX 7,NA,NA,13,14,NA,NA
9607423,EPHESOS,241154000,SVBL3,65,15.5,NA,NA
9005235,FALCON,NA,D6I06,70,14,NA,NA
9352468,SUEANN,533130471,9MWB3,5,10,NA,NA
9236511,SM MAHI,419001615,VTJP,103,22.8,NA,NA
9619646,RUI NING 22,414092000,BFGO,35,14,NA,NA
9434462,MSC SAMIRA III,636020952,5LBN8,86.5,22,NA,NA
9154567,EVRIKA,371555000,3FPP7,28,14,NA,NA
9316103,SONATA,277562000,LYBN,38.5,19,NA,NA
8301216,SELAT PISCES,NA,NA,7,11.5,NA,NA
9766657,BALTIC HARMONY,477137400,VRPQ2,29.6,15.2,NA,NA
9285158,WOOYANG VENUS,538008880,V7A2864,39.5,13.5,NA,NA
9067702,YATHREB 2,403740850,HZZJ,8.89,11,NA,NA
9116589,MSC UNITE VI,636024729,5LTZ7,180,24.5,NA,NA
9391971,CORONA,255915888,CQ2346,37,13,38,14
9273521,MIDNIGHT REIGN,577580000,YJXL3,8,10,NA,NA
9902782,GAS VIRGO,563133600,9V6776,20.6,12,46,16.8
9546540,BOURBON LIBERTY 222,253260000,LXXF,16,12,22,13.5
8307399,MAJESTIC,NA,3FGE5,25,13,NA,NA
9543160,SHARIEF HAWK,470245000,A6E2347,18,11,NA,NA
9420289,LUMOSO LANCAR,525113022,YCZQ2,31.3,13.5,NA,NA
9410777,CMA CGM CENTAURUS,215225000,9HA5020,261.4,24.7,NA,NA
7907673,EL. VENIZELOS,237628000,SWWZ,96,22,NA,NA
9348857,TS DALIAN,538009749,V7A5115,82.8,21.8,NA,NA
9342073,BAI CHI,413155000,BPGA,32,14.5,NA,NA
9391672,SPIRIT OF SYDNEY,232013525,MCMB8,100,22,NA,NA
9802085,CAPE CLOVER,373204000,3FET8,52,14,NA,NA
9607813,FIESTA,636023707,5LPA5,36,14,NA,NA
9688257,AMY CLEMONS MCCALL,303075000,WDG6986,30,22,43.7,32
9637129,DORIC BREEZE,636016005,D5DY7,19.5,13,NA,NA
9400162,ROVA,236749000,ZDSQ7,10.5,12.5,NA,NA
9429948,JASCON 39,657104600,5NXW4,10,12,NA,NA
9237149,AKHISAR,636022809,5LKO4,21,15.5,NA,NA
9964326,RAWABI 134,572542220,T2VH5,36.72,25,NA,NA
9869590,ANAHITA,371007000,3EKD7,27.7,15.28,NA,NA
9784154,EVER BREED,353800000,H3BV,90,21.8,NA,NA
9362205,AKIJ GLORY,405000079,S2AJ7,35,14,37,14.3
9858113,SRI PHUNPIN,567585000,HSB7220,5,11,NA,NA
8014411,SEARCH,NA,LARE4,32,17.2,NA,NA
9197844,HORNET,NA,NA,94.4,15.9,NA,NA
9804928,FURANO GALAXY,538008886,V7A2872,28,14,NA,NA
8308903,FURKAN,NA,E5U2761,22.5,13.25,NA,NA
9618616,GREENER,538004739,V7YU9,34,14,NA,NA
9749673,WARAMI 10,657194900,5OLA,9,10,NA,NA
9362011,MH MONSOON,311001652,C6IE9,10,11,NA,NA
9423504,FEIZA,525121077,YDNG3,32.4,14,NA,NA
9594315,UAL OSPREY,255802350,CQOQ,8,10,10,12
9218260,SHANG DE FU,414435000,BTJI9,35.3,14.5,NA,NA
9821823,SHIN KASADO K-208,NA,NA,30,14.5,NA,NA
9468188,HT HUA SHAN,636023300,5LNA5,52,14,65.1,15
9390082,BOURBON ARGOS,253123000,LXCD,28,12,37,14
9516416,COSCO FRANCE,477030700,VRMC2,295,24.3,NA,NA
9458999,BROOKLYN BRIDGE,431187000,7KPG,165,24,NA,NA
